,BSSID,SSID,zone,subzone,dBm_Signal,Channel,Crypto
0,04:a2:22:1e:1a:16,MiFibra-1A14,9,2,-80,1,{'WEP'}
0,94:6a:b0:9e:d2:b4,MiFibra-D2B2,9,2,-86,1,{'WPA2/PSK'}
0,78:31:2b:e1:87:ec,JAZZTEL_KfdA,9,2,-74,1,{'WEP'}
0,b4:2a:0e:fb:4e:cd,vodafone4EC8,9,2,-88,1,"{'WPA/PSK', 'WPA2/PSK'}"
0,94:6a:b0:5d:67:3a,MiFibra-6738,9,2,-73,1,{'WPA2/PSK'}
0,00:1a:2b:8d:de:d0,WLAN_E65F,9,2,-78,1,{'WPA/PSK'}
0,44:ff:ba:21:b4:95,MIWIFI_2G_Knpb,9,2,-79,1,"{'WPA/PSK', 'WPA2/PSK'}"
0,48:8d:36:d1:75:60,MiFibra-755E,9,2,-69,1,{'WEP'}
0,62:8d:36:d1:75:61,Invitado-755E,9,2,-69,1,{'WEP'}
0,04:a2:22:1e:1a:16,MiFibra-1A14,9,2,-79,1,{'WEP'}
0,94:6a:b0:9e:d2:b4,MiFibra-D2B2,9,2,-84,1,{'WPA2/PSK'}
0,78:31:2b:e1:87:ec,JAZZTEL_KfdA,9,2,-72,1,{'WEP'}
0,94:6a:b0:5d:67:3a,MiFibra-6738,9,2,-73,1,{'WPA2/PSK'}
0,44:ff:ba:21:b4:95,MIWIFI_2G_Knpb,9,2,-80,1,"{'WPA/PSK', 'WPA2/PSK'}"
0,48:8d:36:d1:75:60,MiFibra-755E,9,2,-66,1,{'WEP'}
0,62:8d:36:d1:75:61,Invitado-755E,9,2,-66,1,{'WEP'}
0,78:31:2b:e1:87:ec,JAZZTEL_KfdA,9,2,-73,1,{'WEP'}
0,94:6a:b0:5d:67:3a,MiFibra-6738,9,2,-69,1,{'WPA2/PSK'}
0,00:1a:2b:8d:de:d0,WLAN_E65F,9,2,-78,1,{'WPA/PSK'}
0,48:8d:36:d1:75:60,MiFibra-755E,9,2,-62,1,{'WEP'}
0,62:8d:36:d1:75:61,Invitado-755E,9,2,-62,1,{'WEP'}
0,78:31:2b:e1:87:ec,JAZZTEL_KfdA,9,2,-74,1,{'WEP'}
0,78:31:2b:e1:87:ec,JAZZTEL_KfdA,9,2,-76,1,{'WEP'}
0,78:31:2b:e1:87:ec,JAZZTEL_KfdA,9,2,-75,1,{'WEP'}
0,44:ff:ba:17:d3:34,MIWIFI_2G_WZG4,9,2,-88,3,{'WPA/PSK'}
0,44:ff:ba:17:d3:34,MIWIFI_2G_WZG4,9,2,-89,3,{'WPA/PSK'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,2,-46,5,{'WEP'}
0,7a:6f:52:d6:ea:05,MIWIFI_5G_K3fy,9,2,-78,4,{'WPA/PSK'}
0,7a:6f:52:d6:ea:05,MIWIFI_5G_K3fy,9,2,-69,4,{'WPA/PSK'}
0,7a:6f:52:d6:ea:05,MIWIFI_5G_K3fy,9,2,-79,4,{'WPA/PSK'}
0,9c:6f:52:d6:ea:07,MIWIFI_2G_K3fy,9,2,-79,4,{'WPA/PSK'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,2,-46,5,{'WEP'}
0,ac:cf:85:52:bd:b4,vodafoneBDAC,9,2,-77,5,{'WPA2/PSK'}
0,ac:cf:85:52:bd:b5,_ONOWiFi,9,2,-80,5,{'OPN'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,2,-45,5,{'WEP'}
0,ac:cf:85:52:bd:b4,vodafoneBDAC,9,2,-75,5,{'WPA2/PSK'}
0,ac:cf:85:52:bd:b5,_ONOWiFi,9,2,-73,5,{'OPN'}
0,00:1a:2b:8e:ce:34,WLAN2745,9,2,-85,5,{'WPA2/PSK'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,2,-45,5,{'WEP'}
0,ac:cf:85:52:bd:b4,vodafoneBDAC,9,2,-83,5,{'WPA2/PSK'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,2,-45,5,{'WEP'}
0,ac:cf:85:52:bd:b4,vodafoneBDAC,9,2,-74,5,{'WPA2/PSK'}
0,ac:cf:85:52:bd:b5,_ONOWiFi,9,2,-74,5,{'OPN'}
0,00:1a:2b:8e:ce:34,WLAN2745,9,2,-88,5,{'WPA2/PSK'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,2,-46,5,{'WEP'}
0,ac:cf:85:52:bd:b4,vodafoneBDAC,9,2,-85,5,{'WPA2/PSK'}
0,e2:41:36:50:0b:68,MOVISTAR_0B68,9,2,-84,6,{'WPA2/PSK'}
0,f8:8e:85:dc:97:21,MOVISTAR_9720,9,2,-86,6,{'WPA/PSK'}
0,4c:1b:86:dd:47:ce,MiFibra-47CC,9,2,-83,6,{'WEP'}
0,d8:32:14:36:af:48,Orange-B27B,9,2,-83,6,"{'WPA/PSK', 'WPA2/PSK'}"
0,18:83:bf:9d:b2:7d,Orange-B27B,9,2,-83,6,{'WPA2/PSK'}
0,ec:f4:51:55:0a:a1,MiFibra-0A9F,9,2,-70,6,{'WEP'}
0,b4:2a:0e:da:00:de,Navi Wifi 2G,9,2,-88,6,"{'WPA/PSK', 'WPA2/PSK'}"
0,8c:0c:a3:37:e2:4c,MOVISTAR_E24C,9,2,-88,6,{'WPA/PSK'}
0,e2:41:36:50:0b:68,MOVISTAR_0B68,9,2,-80,6,{'WPA2/PSK'}
0,98:97:d1:4b:68:b6,MOVISTAR_68B5,9,2,-90,6,{'WPA2/PSK'}
0,e2:41:36:8f:97:b0,MOVISTAR_97B0,9,2,-87,6,{'WPA2/PSK'}
0,4a:5f:99:6b:83:d1,DIRECT-d1-HP M181 LaserJet,9,2,-89,6,{'WPA2/PSK'}
0,78:11:dc:e6:d0:97,rockrobo-vacuum-v1_miapD097,9,2,-69,6,{'OPN'}
0,f8:8e:85:dc:97:21,MOVISTAR_9720,9,2,-90,6,{'WPA/PSK'}
0,4c:1b:86:dd:47:ce,MiFibra-47CC,9,2,-83,6,{'WEP'}
0,d8:32:14:36:af:48,Orange-B27B,9,2,-80,6,"{'WPA/PSK', 'WPA2/PSK'}"
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,2,-47,5,{'WEP'}
0,78:11:dc:e6:d0:97,rockrobo-vacuum-v1_miapD097,9,2,-69,6,{'OPN'}
0,4c:1b:86:dd:47:ce,MiFibra-47CC,9,2,-85,6,{'WEP'}
0,f4:06:8d:8c:ab:b1,devolo-bb1,9,2,-73,11,{'WPA2/PSK'}
0,00:4a:77:e8:1b:c6,TontoElQueLoLea-2.4G,9,2,-65,11,"{'WPA/PSK', 'WPA2/PSK'}"
0,00:4a:77:e8:1b:c6,TontoElQueLoLea-2.4G,9,2,-65,11,"{'WPA/PSK', 'WPA2/PSK'}"
0,8c:e1:17:e6:98:7a,MIWIFI_2G_Q47X,9,2,-89,13,"{'WPA/PSK', 'WPA2/PSK'}"
0,8c:e1:17:e6:98:7a,MIWIFI_2G_Q47X,9,2,-88,13,"{'WPA/PSK', 'WPA2/PSK'}"
0,26:57:60:94:8b:4a,MOVISTAR_8B41,9,2,-85,36,{'WPA2/PSK'}
0,34:57:60:94:8b:4a,MOVISTAR_PLUS_8B41,9,2,-85,36,{'WPA2/PSK'}
0,34:57:60:94:8b:4a,MOVISTAR_PLUS_8B41,9,2,-86,36,{'WPA2/PSK'}
0,26:57:60:94:8b:4a,MOVISTAR_8B41,9,2,-85,36,{'WPA2/PSK'}
0,74:b5:7e:f2:70:ff,MIWIFI_5G_pvER,9,2,-75,48,"{'WPA/PSK', 'WPA2/PSK'}"
0,74:b5:7e:f2:70:ff,MIWIFI_5G_pvER,9,2,-76,48,"{'WPA/PSK', 'WPA2/PSK'}"
0,00:4a:77:e8:1b:c7,TontoElQueLoLea-5G,9,2,-69,48,"{'WPA/PSK', 'WPA2/PSK'}"
0,ec:f4:51:55:0a:a2,,9,2,-92,52,{'WPA2/PSK'}
0,94:6a:b0:5d:67:3a,MiFibra-6738,9,2,-81,1,{'WPA2/PSK'}
0,00:1a:2b:8d:de:d0,WLAN_E65F,9,2,-82,1,{'WPA/PSK'}
0,48:8d:36:d1:75:60,MiFibra-755E,9,2,-64,1,{'WEP'}
0,78:31:2b:e1:87:ec,JAZZTEL_KfdA,9,3,-73,1,{'WEP'}
0,94:6a:b0:5d:67:3a,MiFibra-6738,9,3,-78,1,{'WPA2/PSK'}
0,04:a2:22:1e:1a:16,MiFibra-1A14,9,3,-76,1,{'WEP'}
0,48:8d:36:14:1b:4d,MiFibra-1B4B,9,3,-81,1,{'WEP'}
0,78:31:2b:e1:87:ec,JAZZTEL_KfdA,9,3,-76,1,{'WEP'}
0,94:6a:b0:5d:67:3a,MiFibra-6738,9,3,-78,1,{'WPA2/PSK'}
0,44:ff:ba:21:b4:95,MIWIFI_2G_Knpb,9,3,-82,1,"{'WPA/PSK', 'WPA2/PSK'}"
0,a8:d3:f7:16:61:2c,Orange-612A,9,3,-84,1,{'WEP'}
0,48:8d:36:d1:75:60,MiFibra-755E,9,3,-62,1,{'WEP'}
0,62:8d:36:d1:75:61,Invitado-755E,9,3,-62,1,{'WEP'}
0,04:a2:22:1e:1a:16,MiFibra-1A14,9,3,-78,1,{'WEP'}
0,78:31:2b:e1:87:ec,JAZZTEL_KfdA,9,3,-77,1,{'WEP'}
0,94:6a:b0:5d:67:3a,MiFibra-6738,9,3,-74,1,{'WPA2/PSK'}
0,a8:d3:f7:16:61:2c,Orange-612A,9,3,-82,1,{'WEP'}
0,48:8d:36:d1:75:60,MiFibra-755E,9,3,-61,1,{'WEP'}
0,62:8d:36:d1:75:61,Invitado-755E,9,3,-62,1,{'WEP'}
0,04:a2:22:1e:1a:16,MiFibra-1A14,9,3,-76,1,{'WEP'}
0,48:8d:36:14:1b:4d,MiFibra-1B4B,9,3,-83,1,{'WEP'}
0,94:6a:b0:5d:67:3a,MiFibra-6738,9,3,-78,1,{'WPA2/PSK'}
0,a8:d3:f7:16:61:2c,Orange-612A,9,3,-81,1,{'WEP'}
0,48:8d:36:d1:75:60,MiFibra-755E,9,3,-62,1,{'WEP'}
0,62:8d:36:d1:75:61,Invitado-755E,9,3,-63,1,{'WEP'}
0,04:a2:22:1e:1a:16,MiFibra-1A14,9,3,-76,1,{'WEP'}
0,78:31:2b:e1:87:ec,JAZZTEL_KfdA,9,3,-77,1,{'WEP'}
0,94:6a:b0:5d:67:3a,MiFibra-6738,9,3,-78,1,{'WPA2/PSK'}
0,48:8d:36:d1:75:60,MiFibra-755E,9,3,-63,1,{'WEP'}
0,62:8d:36:d1:75:61,Invitado-755E,9,3,-64,1,{'WEP'}
0,48:8d:36:d1:75:60,MiFibra-755E,9,3,-63,1,{'WEP'}
0,62:8d:36:d1:75:61,Invitado-755E,9,3,-64,1,{'WEP'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,3,-54,5,{'WEP'}
0,7a:6f:52:d6:ea:05,MIWIFI_5G_K3fy,9,3,-79,4,{'WPA/PSK'}
0,9c:6f:52:d6:ea:07,MIWIFI_2G_K3fy,9,3,-78,4,{'WPA/PSK'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,3,-54,5,{'WEP'}
0,9c:6f:52:d6:ea:07,MIWIFI_2G_K3fy,9,3,-80,4,{'WPA/PSK'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,3,-55,5,{'WEP'}
0,9c:6f:52:d6:ea:07,MIWIFI_2G_K3fy,9,3,-79,4,{'WPA/PSK'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,3,-54,5,{'WEP'}
0,7a:6f:52:d6:ea:05,MIWIFI_5G_K3fy,9,3,-79,4,{'WPA/PSK'}
0,9c:6f:52:d6:ea:07,MIWIFI_2G_K3fy,9,3,-79,4,{'WPA/PSK'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,3,-55,5,{'WEP'}
0,7a:6f:52:d6:ea:05,MIWIFI_5G_K3fy,9,3,-80,4,{'WPA/PSK'}
0,9c:6f:52:d6:ea:07,MIWIFI_2G_K3fy,9,3,-78,4,{'WPA/PSK'}
0,78:11:dc:e6:d0:97,rockrobo-vacuum-v1_miapD097,9,3,-62,6,{'OPN'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,3,-55,5,{'WEP'}
0,ec:f4:51:55:0a:a1,MiFibra-0A9F,9,3,-78,6,{'WEP'}
0,ac:cf:85:52:bd:b4,vodafoneBDAC,9,3,-86,5,{'WPA2/PSK'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,3,-54,5,{'WEP'}
0,ac:cf:85:52:bd:b4,vodafoneBDAC,9,3,-81,5,{'WPA2/PSK'}
0,ac:cf:85:52:bd:b5,_ONOWiFi,9,3,-78,5,{'OPN'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,3,-54,5,{'WEP'}
0,ac:cf:85:52:bd:b4,vodafoneBDAC,9,3,-79,5,{'WPA2/PSK'}
0,78:11:dc:e6:d0:97,rockrobo-vacuum-v1_miapD097,9,3,-64,6,{'OPN'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,3,-55,5,{'WEP'}
0,ac:cf:85:52:bd:b4,vodafoneBDAC,9,3,-78,5,{'WPA2/PSK'}
0,ac:cf:85:52:bd:b5,_ONOWiFi,9,3,-76,5,{'OPN'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,3,-55,5,{'WEP'}
0,78:11:dc:e6:d0:97,rockrobo-vacuum-v1_miapD097,9,3,-62,6,{'OPN'}
0,bc:30:d9:78:a4:9e,MiFibra-A49C,9,3,-86,6,{'WEP'}
0,d8:32:14:36:af:48,Orange-B27B,9,3,-82,6,"{'WPA/PSK', 'WPA2/PSK'}"
0,18:83:bf:9d:b2:7d,Orange-B27B,9,3,-83,6,{'WPA2/PSK'}
0,ec:f4:51:55:0a:a1,MiFibra-0A9F,9,3,-73,6,{'WEP'}
0,b4:2a:0e:da:00:de,Navi Wifi 2G,9,3,-86,6,"{'WPA/PSK', 'WPA2/PSK'}"
0,8c:0c:a3:37:e2:4c,MOVISTAR_E24C,9,3,-86,6,{'WPA/PSK'}
0,98:97:d1:4b:68:b6,MOVISTAR_68B5,9,3,-87,6,{'WPA2/PSK'}
0,f8:8e:85:dc:97:21,MOVISTAR_9720,9,3,-78,6,{'WPA/PSK'}
0,84:aa:9c:a9:3d:a7,MOVISTAR_3DA6,9,3,-87,6,{'WPA2/PSK'}
0,d8:32:14:36:af:48,Orange-B27B,9,3,-84,6,"{'WPA/PSK', 'WPA2/PSK'}"
0,18:83:bf:9d:b2:7d,Orange-B27B,9,3,-83,6,{'WPA2/PSK'}
0,ec:f4:51:55:0a:a1,MiFibra-0A9F,9,3,-73,6,{'WEP'}
0,c4:71:54:35:a4:60,Flybox_A460,9,3,-80,6,"{'WPA/PSK', 'WPA2/PSK'}"
0,f8:8e:85:dc:97:21,MOVISTAR_9720,9,3,-77,6,{'WPA/PSK'}
0,d8:32:14:36:af:48,Orange-B27B,9,3,-83,6,"{'WPA/PSK', 'WPA2/PSK'}"
0,ec:f4:51:55:0a:a1,MiFibra-0A9F,9,3,-72,6,{'WEP'}
0,e2:41:36:50:0b:68,MOVISTAR_0B68,9,3,-79,6,{'WPA2/PSK'}
0,78:11:dc:e6:d0:97,rockrobo-vacuum-v1_miapD097,9,3,-60,6,{'OPN'}
0,f8:8e:85:dc:97:21,MOVISTAR_9720,9,3,-77,6,{'WPA/PSK'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,9,3,-58,5,{'WEP'}
0,ec:f4:51:55:0a:a1,MiFibra-0A9F,9,3,-74,6,{'WEP'}
0,98:97:d1:47:cd:75,MOVISTAR_CD74,9,3,-74,6,{'WPA2/PSK'}
0,e2:41:36:50:0b:68,MOVISTAR_0B68,9,3,-81,6,{'WPA2/PSK'}
0,78:11:dc:e6:d0:97,rockrobo-vacuum-v1_miapD097,9,3,-61,6,{'OPN'}
0,f8:8e:85:dc:97:21,MOVISTAR_9720,9,3,-77,6,{'WPA/PSK'}
0,ec:f4:51:55:0a:a1,MiFibra-0A9F,9,3,-72,6,{'WEP'}
0,98:97:d1:47:cd:75,MOVISTAR_CD74,9,3,-74,6,{'WPA2/PSK'}
0,e2:41:36:50:0b:68,MOVISTAR_0B68,9,3,-79,6,{'WPA2/PSK'}
0,78:11:dc:e6:d0:97,rockrobo-vacuum-v1_miapD097,9,3,-62,6,{'OPN'}
0,74:b5:7e:f2:70:fe,MIWIFI_2G_pvER,9,3,-80,9,{'WPA/PSK'}
0,74:b5:7e:f2:70:fe,MIWIFI_2G_pvER,9,3,-81,9,{'WPA/PSK'}
0,62:8d:36:6d:96:f3,MiFibra-96EF-24G,9,3,-88,9,{'WEP'}
0,c8:b4:22:51:20:2f,MOVISTAR_2020,9,3,-82,9,{'WEP'}
0,98:97:d1:0a:62:87,Paul Home,9,3,-84,11,{'WPA2/PSK'}
0,00:4a:77:e8:1b:c6,TontoElQueLoLea-2.4G,9,3,-61,11,"{'WPA/PSK', 'WPA2/PSK'}"
0,8c:e1:17:e6:98:7a,MIWIFI_2G_Q47X,9,3,-89,13,"{'WPA/PSK', 'WPA2/PSK'}"
0,8c:e1:17:e6:98:7a,MIWIFI_2G_Q47X,9,3,-91,13,"{'WPA/PSK', 'WPA2/PSK'}"
0,74:b5:7e:f2:70:ff,MIWIFI_5G_pvER,9,3,-85,48,"{'WPA/PSK', 'WPA2/PSK'}"
0,00:4a:77:e8:1b:c7,TontoElQueLoLea-5G,9,3,-72,48,"{'WPA/PSK', 'WPA2/PSK'}"
0,e6:f4:51:55:0a:a2,MiFibra-0A9F,9,3,-90,52,{'WPA2/PSK'}
0,ee:f4:51:55:0a:a2,MiFibra-0A9F-5G,9,3,-90,52,{'WPA2/PSK'}
0,94:6a:b0:5d:67:3b,,9,3,-92,52,{'WPA2/PSK'}
